datetime,alert,description,numalerts,undstips,unsrcips
2011-04-13 07:54:00,portscan,TCP Portscan,2,2,1
2011-04-13 07:54:05,portscan,TCP Portsweep,1,1,1
2011-04-13 07:54:53,portscan,TCP Portscan,2,2,1
2011-04-13 07:56:01,portscan,TCP Portscan,1,1,1
2011-04-13 07:56:56,portscan,TCP Portscan,1,1,1
2011-04-13 07:57:21,portscan,TCP Portscan,1,1,1
2011-04-13 07:57:40,portscan,TCP Portsweep,1,1,1
2011-04-13 07:57:48,portscan,TCP Portsweep,1,1,1
2011-04-13 07:57:57,portscan,TCP Portscan,1,1,1
2011-04-13 07:59:09,portscan,TCP Portscan,1,1,1
2011-04-13 08:00:21,portscan,TCP Portscan,1,1,1
2011-04-13 08:01:16,portscan,TCP Portscan,1,1,1
2011-04-13 08:02:58,portscan,TCP Portscan,1,1,1
2011-04-13 08:04:05,portscan,TCP Portscan,1,1,1
2011-04-13 08:04:32,portscan,TCP Portscan,1,1,1
2011-04-13 08:05:28,portscan,TCP Portscan,1,1,1
2011-04-13 08:05:31,portscan,TCP Portsweep,1,1,1
2011-04-13 08:05:35,portscan,TCP Portscan,1,1,1
2011-04-13 08:06:43,portscan,TCP Portsweep,1,1,1
2011-04-13 08:07:16,portscan,TCP Portscan,1,1,1
2011-04-13 08:08:50,portscan,TCP Portscan,1,1,1
2011-04-13 08:08:58,portscan,TCP Portscan,1,1,1
2011-04-13 08:09:09,portscan,TCP Portscan,1,1,1
2011-04-13 08:09:37,portscan,TCP Portsweep,1,1,1
2011-04-13 08:10:03,portscan,TCP Portsweep,1,1,1
2011-04-13 08:10:04,portscan,TCP Portscan,1,1,1
2011-04-13 08:10:10,portscan,TCP Portsweep,2,1,1
2011-04-13 08:11:19,portscan,TCP Portscan,1,1,1
2011-04-13 08:11:38,portscan,TCP Portscan,1,1,1
2011-04-13 08:12:38,portscan,TCP Portscan,2,2,2
2011-04-13 08:13:33,portscan,TCP Portscan,1,1,1
2011-04-13 08:13:47,portscan,TCP Portsweep,1,1,1
2011-04-13 08:13:56,portscan,TCP Portscan,1,1,1
2011-04-13 08:14:07,portscan,TCP Portsweep,1,1,1
2011-04-13 08:14:43,portscan,TCP Portscan,1,1,1
2011-04-13 08:15:58,portscan,TCP Portscan,1,1,1
2011-04-13 08:16:08,portscan,TCP Portscan,1,1,1
2011-04-13 08:17:07,portscan,TCP Portscan,1,1,1
2011-04-13 08:17:45,portscan,TCP Portscan,1,1,1
2011-04-13 08:18:07,portscan,TCP Portscan,1,1,1
2011-04-13 08:18:14,portscan,TCP Portsweep,1,1,1
2011-04-13 08:19:01,portscan,TCP Portscan,1,1,1
2011-04-13 08:19:51,portscan,TCP Portscan,1,1,1
2011-04-13 08:20:13,portscan,TCP Portscan,1,1,1
2011-04-13 08:20:59,portscan,TCP Portsweep,2,2,1
2011-04-13 08:22:24,portscan,TCP Portscan,1,1,1
2011-04-13 08:23:31,portscan,TCP Portscan,1,1,1
2011-04-13 08:25:26,portscan,TCP Portscan,1,1,1
2011-04-13 08:25:32,portscan,TCP Portscan,1,1,1
2011-04-13 08:25:33,portscan,TCP Portscan,1,1,1
2011-04-13 08:26:52,portscan,TCP Portscan,1,1,1
2011-04-13 08:27:03,portscan,TCP Portscan,1,1,1
2011-04-13 08:28:09,portscan,TCP Portscan,1,1,1
2011-04-13 08:28:20,portscan,TCP Portsweep,2,1,1
2011-04-13 08:28:45,portscan,TCP Portsweep,2,1,1
2011-04-13 08:28:57,portscan,TCP Portscan,1,1,1
2011-04-13 08:29:02,portscan,TCP Portsweep,1,1,1
2011-04-13 08:29:49,portscan,TCP Portscan,1,1,1
2011-04-13 08:30:55,portscan,TCP Portscan,1,1,1
2011-04-13 08:30:58,portscan,TCP Portscan,1,1,1
2011-04-13 08:31:59,portscan,TCP Portsweep,1,1,1
2011-04-13 08:32:35,portscan,TCP Portscan,1,1,1
2011-04-13 08:33:08,portscan,TCP Portscan,1,1,1
2011-04-13 08:33:31,portscan,TCP Portscan,1,1,1
2011-04-13 08:33:58,portscan,TCP Portsweep,1,1,1
2011-04-13 08:34:22,portscan,TCP Portsweep,2,1,1
2011-04-13 08:34:23,portscan,TCP Portscan,1,1,1
