permin,dbcons,inbounds,indns,inhttp,inhttps,inmail,meanbytes,meancapbytes,meanepoch,meaniplen,meanttl,numcons,numdstports,numsrcports,outbounds,outdns,outhttp,outhttps,outmail,totalbytes,totalcapbytes,totalepoch,totaliplen,totalttl,undstips,undstports,unsrcips,unsrcports
"Apr 13, 2011 21:12",0,709234,239,1514391,104588,256,151.2576210080539,40.0,1302725552.0723867,135.17833726946162,151.06177360461257,2839749,2530171,2530171,2130515,0,614392,240014,0,429533678,113589960,3699413583772008.5,383610978.0,428685216.0,157,4141,151,4023
"Apr 13, 2011 21:13",0,891233,0,1584715,103823,0,151.4450871448951,40.0,1302725610.0437796,135.31150953499625,146.4592420940917,3102534,2767965,2767965,2211301,0,625933,241457,0,469863532,124101360,4041750497831567.5,419721283.0,454300312.0,157,4488,150,4050
"Apr 13, 2011 21:14",0,836104,429,1572315,106081,430,151.08358251721504,40.0,1302725670.1342962,135.0415164835526,148.05909674703292,3043268,2707570,2707570,2207164,0,632448,244114,0,459787832,121730720,3964543344698259.0,410587654.0,450167021.0,159,4474,146,4072
"Apr 13, 2011 21:15",0,1317241,256,1113125,69467,254,151.5354505120686,40.0,1302725726.230773,135.91461958378972,165.92547329682367,2853231,2017342,2017342,1535990,0,422977,168076,0,432365645,114129240,3716977426579154.5,387781399.0,473406116.0,160,4683,146,4100
"Apr 13, 2011 21:16",0,749292,119,724242,41702,83,152.7487288939588,40.0,1302725790.2290897,137.20337379815612,169.38888724767244,1760278,1233087,1233087,1010986,0,286784,99138,0,268880227,70411120,2293159548572881.5,241507025.0,298160352.0,155,4453,148,4045
"Apr 13, 2011 21:17",0,744945,45,756998,47692,103,157.25609593789764,40.0,1302725848.7345498,141.71959981176786,175.72315450350987,1795745,1228831,1228831,1050800,0,293707,115703,0,282391848,71829800,2339363429235824.0,254479508.0,315538161.0,141,4081,148,4005
"Apr 13, 2011 21:18",0,211587,0,211509,14442,0,161.30455680954213,40.0,1302725910.5155408,145.7312352254617,175.76481206096045,506385,348008,348008,294798,0,83265,34483,0,81682208,20255400,659680860196412.1,73792614.0,89000446.0,87,4069,65,4000
"Apr 13, 2011 21:19",0,221505,0,209824,14436,0,160.74516323230256,40.0,1302725967.855036,145.13374648330677,177.92212516476815,508294,341053,341053,286789,0,76961,34992,0,81705802,20331760,662167793104907.6,73770032.0,90436037.0,93,3701,86,3998
"Apr 13, 2011 21:20",0,243652,0,236244,15193,0,158.3046342708459,40.0,1302726028.748264,142.6701982834109,177.7400884883593,564188,377525,377525,320536,0,84244,36820,0,89313575,22567520,734982392707425.6,80486251.0,100270649.0,96,4020,81,3997
"Apr 13, 2011 21:21",0,42335,0,45148,2620,0,160.85945103406326,40.0,1302726065.2486637,145.26290678223845,174.38197612530413,105216,72933,72933,62881,0,17733,6608,0,16924988,4208640,137067625681203.39,15283982.0,18347774.0,62,2271,25,3105
"Apr 13, 2011 21:49",0,8229,0,0,574,0,444.8817429559024,444.8817429559024,1302727784.2527633,430.5688729874776,132.78038514153425,9547,8341,8341,1318,0,1260,1002,0,4247286,4247286,12437142156261.13,4091696.0,1261812.0,114,430,111,137
"Apr 13, 2011 21:50",0,12956,0,0,464,0,522.3211706575447,522.3211706575447,1302727827.7479417,510.0368300153139,115.49831546707505,13155,12200,12200,199,0,88,672,0,6871135,6871135,17137384574024.174,6661081.0,1508408.0,144,214,140,196
"Apr 13, 2011 21:51",0,19211,0,0,562,0,555.2663638240759,555.2663638240759,1302727892.2338996,543.2404471016376,120.25495191057968,19372,16954,16954,161,0,0,752,0,10756620,10756620,25236444728355.1,10449230.0,2313104.0,145,229,146,229
"Apr 13, 2011 21:52",0,13723,0,0,458,0,512.5753148614609,512.5753148614609,1302727953.5259345,500.5420262528102,123.34114148959316,13895,11914,11914,172,0,0,648,0,7122234,7122234,18101404914242.86,6901974.0,1700751.0,147,201,145,201
"Apr 13, 2011 21:53",0,17934,0,0,562,0,439.85901476198376,439.85901476198376,1302728012.2332184,427.4774322968907,135.41691741892345,18087,14526,14526,153,0,0,852,0,7955730,7955730,23562441557262.223,7671510.0,2430192.0,147,222,148,222
"Apr 13, 2011 21:54",0,18802,0,0,608,0,420.188797212115,420.188797212115,1302728068.4702115,418.12490698416076,134.25050494312745,19513,15494,15494,711,0,0,906,0,8199144,8199144,25420132800059.24,7866602.0,2525789.0,144,249,144,245
"Apr 13, 2011 21:55",0,14038,0,8,498,0,493.3761493259592,493.3761493259592,1302728128.421123,490.4717558338076,125.38083380762663,14465,12068,12068,427,0,0,692,0,7136686,7136686,18843962377611.543,6894071.0,1762353.0,147,192,146,195
